Mois;UIC;Nom gare;Nombre de non-conformités;Nombre d'observations;Taux de conformité
2022-08;0087755421;Vidauban;76;760;90.0
2022-08;0087755447;Les Arcs - Draguignan;3496;40052;91.271347249
2022-08;0087756361;Villefranche-sur-Mer;385;12089;96.815286625
2022-08;0087756395;Cap-d'Ail;2926;13013;77.5147929
2022-08;0087756478;Carnoles;1386;9471;85.365853659
2022-08;0087756494;Menton Garavan;693;7931;91.262135923
2022-08;0087757500;Fréjus;1001;8008;87.5
2022-08;0087757575;Le Trayas;154;1694;90.90909091
2022-08;0087757617;Cannes La Bocca;539;4620;88.333333334
2022-08;0087757641;Golfe Juan Vallauris;616;10780;94.285714286
2022-08;0087761544;Gare routière de La-Voulte-sur-Rhône;0;988;100.0
2022-08;0087762906;Lyon Saint-Exupéry TGV;1292;25612;94.955489615
2022-08;0087763300;Veynes Dévoluy;1444;5016;71.212121213
2022-08;0087763722;Serres;912;3876;76.470588236
2022-08;0087765198;Bédarrides;76;2356;96.774193549
2022-08;0087765735;Carpentras;76;1596;95.238095239
2022-08;0087765826;Entraigues-sur-la-Sorgue;0;1672;100.0
2022-08;0087773200;Sète;1140;29564;96.143958869
2022-08;0087773465;Saint-Aunès;102;3468;97.05882353
2022-08;0087775247;La Levade;102;1734;94.117647059
2022-08;0087775288;Alès;539;23639;97.719869707
2022-08;0087775817;Vauvert;77;3003;97.435897436
2022-08;0087775833;Aimargues;0;1232;100.0
2022-08;0087775866;Le Grau-du-Roi;77;3234;97.61904762
2022-08;0087781161;Coursan;152;2204;93.103448276
2022-08;0087781260;Vias;228;2280;90.0
2022-08;0087781609;Bédarieux;684;3420;80.0
2022-08;0087783001;Millau;136;5984;97.727272728
2022-08;0087783654;Allenc;0;816;100.0
2022-08;0087784264;Port-Vendres;152;1824;91.666666667
2022-08;0087784512;Le Soler;152;988;84.615384616
2022-08;0087784546;Millas;76;608;87.5
2022-08;0087784561;Ille-sur-Têt;228;2204;89.655172414
2022-08;0087784629;Marquixanes;76;532;85.714285715
2022-08;0087784637;Prades - Molitg-les-Bains;304;1748;82.608695653
2022-08;0087784686;Villefranche - Vernet-les-Bains;0;2684;100.0
2022-08;0087784744;Thuès les Bains;0;427;100.0
2022-08;0087784819;Font-Romeu-Odeillo-Via;0;1891;100.0
2022-08;0087784843;Err;0;488;100.0
2022-08;0087784868;Osséja;0;427;100.0
2022-08;0087784884;Ur - Les Escaldes;0;488;100.0
2022-09;0087118158;Romilly-sur-Seine;380;12768;97.023809524
2022-09;0087141002;Nancy;1617;44429;96.360485269
2022-09;0087141077;Frouard;72;3168;97.727272728
2022-09;0087141812;Dieulouard;154;3157;95.12195122
2022-09;0087144410;Arches;158;4266;96.296296297
2022-09;0087147322;Meuse TGV;1155;25872;95.535714286
2022-09;0087171926;Champagne-Ardenne TGV;7828;31768;75.358851675
2022-09;0087172080;Revin;532;9728;94.53125
2022-09;0087175018;Revigny-sur-Ornain;0;3234;100.0
2022-09;0087182014;Colmar;6612;44156;85.025817556
2022-09;0087182139;Saint-Louis;836;42560;98.035714286
2022-09;0087182238;Altkirch;0;16650;100.0
2022-09;0087184523;Montbéliard;539;11550;95.333333334
2022-09;0087185249;Lure;126;2961;95.744680852
2022-09;0087191114;Hagondange;3773;34265;88.988764045
2022-09;0087191734;Rombas - Clouange;265;2014;86.842105264
2022-09;0087192211;Courcelles-sur-Nied;48;768;93.75
2022-09;0087192724;Hatrize;288;768;62.5
2022-09;0087192732;Valleroy - Moineville;144;1776;91.891891892
2022-09;0087193250;Béning;304;6840;95.555555556
2022-09;0087193318;Saint-Avold;546;7878;93.069306931
2022-09;0087194274;Longuyon;608;6080;90.0
2022-09;0087194357;Audun-le-Roman;96;864;88.888888889
2022-09;0087212118;Vendenheim;0;1575;100.0
2022-09;0087212209;Steinbourg;0;1125;100.0
2022-09;0087213256;Niederbronn-les-Bains;0;1485;100.0
2022-09;0087213603;Marienthal;79;2686;97.05882353
2022-09;0087213611;Bischwiller;0;3920;100.0
2022-09;0087213660;Kurtzenhouse;79;2528;96.875
2022-09;0087214148;Erstein;231;4312;94.642857143
2022-09;0087214536;Duppigheim;73;1971;96.296296297
2022-09;0087214551;Dachstein;73;1898;96.153846154
2022-09;0087214627;Heiligenberg - Mollkirch;73;1022;92.857142858
2022-09;0087214726;Rothau;152;2204;93.103448276
2022-09;0087215012;Sarrebourg;231;11088;97.916666667
2022-09;0087276279;Orry-la-Ville - Coye;231;5698;95.945945946
2022-09;0087276329;Pont-Sainte-Maxence;154;5236;97.05882353
2022-09;0087276717;Bornel - Belle-Église;0;9240;100.0
2022-09;0087276725;Chambly;0;12320;100.0
2022-09;0087286005;Lille Flandres;380;21888;98.263888889
2022-09;0087286096;Haubourdin;152;4712;96.774193549
2022-09;0087286187;La Madeleine;76;1976;96.153846154
2022-09;0087286260;Comines;0;4636;100.0
2022-09;0087286401;Santes;152;4560;96.666666667
2022-09;0087286419;Wavrin;0;5472;100.0
2022-09;0087286849;Lesquin;912;5244;82.608695653
2022-09;0087295048;Fourmies;76;6080;98.75
2022-09;0087295857;Le Quesnoy;76;5776;98.684210527
2022-09;0087313072;Albert;693;7315;90.52631579
2022-09;0087313270;Saint-Just-en-Chaussée;154;5390;97.142857143
2022-09;0087317057;Rang-du-Fliers - Verton - Berck;0;12152;100.0
2022-09;0087317065;Étaples - Le Touquet;248;15376;98.387096775
2022-09;0087317263;Calais;760;13832;94.505494506
2022-09;0087317362;Abbeville;616;8470;92.727272728
2022-09;0087342014;Arras;2128;25536;91.666666667
2022-09;0087342436;La Bassée - Violaines;152;7752;98.039215687
2022-09;0087345009;Douai;1064;22040;95.172413794
2022-09;0087345140;Billy-Montigny;124;12648;99.019607844
2022-09;0087345256;Libercourt;0;5168;100.0
2022-09;0087345306;Montigny-en-Ostrevent;3116;6232;50.0
2022-09;0087354589;Saint-Sébastien Pas Enchantés;76;2432;96.875
2022-09;0087387159;Conches-en-Ouche;228;2432;90.625
2022-09;0087396283;Saint-Mars-la-Brière;0;1292;100.0
2022-09;0087396309;Connerré - Beillé;0;684;100.0
2022-09;0087396366;La Suze;304;2812;89.18918919
2022-09;0087396549;Arnage;0;1520;100.0
2022-09;0087411173;Elbeuf - Saint-Aubin;228;7600;97.0
2022-09;0087411264;Barentin;1140;6156;81.481481482
2022-09;0087413344;Bréauté - Beuzeville;570;10032;94.318181819
2022-09;0087415018;Dieppe;456;7296;93.75
2022-09;0087444877;Cherbourg-en-Cotentin;1292;18316;92.946058092
2022-09;0087471102;Breteil;255;1071;76.190476191
2022-09;0087474007;Brest;564;25568;97.794117648
2022-09;0087478131;Miniac-Morvan;154;924;83.333333334
2022-09;0087478156;La Hisse;153;612;75.0
2022-09;0087481002;Nantes;3496;49248;92.901234568
2022-09;0087481036;Rezé Pont Rousseau;76;2660;97.142857143
2022-09;0087481283;Pornic;76;1900;96.0
2022-09;0087481622;Issé;76;1064;92.857142858
2022-09;0087481721;Donges;0;1292;100.0
2022-09;0087481747;Pornichet;76;2432;96.875
2022-09;0087481754;La Baule-Escoublac;228;20368;98.880597015
2022-09;0087481788;Le Croisic;152;3040;95.0
2022-09;0087484352;Champtocé-sur-Loire;228;1976;88.461538462
2022-09;0087485102;Angoulins sur Mer;462;1386;66.666666667
2022-09;0087485532;Rouillé;0;790;100.0
2022-09;0087486126;L'Herbergement - Les Brouzils;76;1824;95.833333334
2022-09;0087491100;Pons;308;3696;91.666666667
2022-09;0087491233;Aubie - Saint-Antoine;74;1110;93.333333334
2022-09;0087497461;Gallieni Cancéropôle;558;2108;73.529411765
2022-09;0087543009;Orléans;847;14322;94.086021506
2022-09;0087547000;Paris Austerlitz;2475;35250;92.978723405
2022-09;0087575134;Ingrandes sur Vienne;77;1078;92.857142858
2022-09;0087575217;Jaunay-Clan;308;1694;81.818181819
2022-09;0087575290;Vivonne;237;1659;85.714285715
2022-09;0087581199;Macau;375;2250;83.333333334
2022-09;0087581215;Margaux;300;2400;87.5
2022-09;0087581371;Soulac-sur-Mer;75;2400;96.875
2022-09;0087581728;Blanquefort;0;3000;100.0
2022-09;0087581736;Bruges;0;1500;100.0
2022-09;0087581835;Villenave-d'Ornon;0;2310;100.0
2022-09;0087582403;Gazinet Cestas;600;8100;92.592592593
2022-09;0087582692;Saint-Médard-d'Eyrans;150;2550;94.117647059
2022-09;0087582759;Barsac;0;2925;100.0
