Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Breil-sur-Roya;87756833;6540;0.0;59912;59912;60487;60487;67208;67208
Brignais;87722728;69530;0.1999999999999999;304911;381139;305259;381574;315105;393881
Busigny;87296244;59137;0.0;85880;85880;73720;73720;66529;66529
Carignan;87172353;8110;0.0;19816;19816;19644;19644;16414;16414
Cercottes;87543033;45520;0.0;53925;53925;52274;52274;70521;70521
Château-Arnoux-Saint-Auban;87751230;4160;0.0;33463;33463;27336;27336;20550;20550
Cholet;87484303;49280;0.2;706770;883463;669711;837139;613049;766311
Cize - Bolozon;87743344;1250;0.0;1646;1646;1447;1447;1145;1145
Clelles - Mens;87747626;38930;0.0;42355;42355;35314;35314;19784;19784
Clermont-en-Argonne;87175737;55120;0.0;55;55;31;31;22;22
Colomiers Lycée International;87611921;31770;0.2;189513;236892;196230;245288;158547;198184
Condat - Le Lardin;87594382;24570;0.0;39491;39491;33315;33315;28892;28892
Conflans - Jarny;87192666;54800;0.0;160722;160722;159176;159176;125935;125935
Cosne-Cours-sur-Loire;87696146;58200;0.2;247547;309434;221961;277452;209767;262209
Crêches-sur-Saône;87725713;71680;0.0;41199;41199;38344;38344;36515;36515
Cugand;87481457;85610;0.0;60811;60811;52757;52757;39228;39228
Égletons;87594168;19300;0.0;55131;55131;46963;46963;39086;39086
Esbly;87116327;77450;0.0;2256964;2256964;2046273;2046273;1931719;1931719
Eurville;87175141;52410;0.0;78;78;85;85;443;443
Fleurieux-sur-l'Arbresle;87721563;69210;0.0;150879;150879;130034;130034;130705;130705
Fors;87485326;79230;0.0;27549;27549;32339;32339;30274;30274
Gardanne;87751420;13120;0.2;384663;480829;334723;418404;324497;405621
Garges - Sarcelles;87276196;95140;0.0;22265054;22265054;15763808;15763808;14813702;14813702
Générac;87775791;30510;0.0;2631;2631;1622;1622;1730;1730
Gien;87684290;45500;0.0;169298;169298;152554;152554;145942;145942
Gundershoffen;87213223;67110;0.0;117154;117154;107044;107044;106807;106807
Hatrize;87192724;54800;0.0;350;350;597;597;501;501
Heming Mairie;87215145;57830;0.0;621;621;512;512;379;379
Issé;87481622;44520;0.0;30804;30804;29195;29195;26374;26374
La Bassée - Violaines;87342436;59480;0.2;341350;426687;310510;388138;277429;346786
La Chapelle Centre;87481564;44240;0.0;35703;35703;36734;36734;29796;29796
La Chapelle-Saint-Mesmin;87543371;45380;0.0;12208;12208;10561;10561;11192;11192
La Grande-Paroisse;87682476;77130;0.0;98534;98534;89343;89343;54790;54790
La Ricamarie;87726703;42150;0.0;17242;17242;15989;15989;13937;13937
L'Aiguille;87592634;87110;0.0;4252;4252;2201;2201;3242;3242
Lalinde;87584441;24150;0.0;41578;41578;32349;32349;31670;31670
Lannion;87473223;22300;0.2;326746;408432;303522;379402;299750;374688
Le Havre Graville;87413203;76600;0.0;934;934;1710;1710;1559;1559
Le Theil-de-Bretagne;87471342;35240;0.0;34858;34858;33563;33563;25403;25403
Le Vernet d'Ariège;87611350;9700;0.0;20192;20192;19537;19537;17163;17163
Lens;87345025;62300;0.25;1769301;2359068;1682652;2243537;1548857;2065143
Lesseux - Frapelle;87144329;88490;0.0;0;0;0;0;0;0
Leval;87295790;59620;0.0;2859;2859;2749;2749;2955;2955
Liart;87172544;8290;0.0;0;0;0;0;331;331
Liévin;87345041;62800;0.0;54889;54889;44885;44885;38216;38216
Limeray;87574335;37530;0.0;11081;11081;10038;10038;12253;12253
L'Isle-d'Abeau;87761239;38080;0.2;356731;445913;311232;389040;294375;367968
Longueville;87116137;77650;0.0;1041424;1041424;944283;944283;680603;680603
Louveciennes;87382457;78430;0.0;1070260;1070260;970429;970429;977571;977571
Mâcon;87725689;71000;0.19;1541777;1903429;1436372;1773299;1375848;1698578
Matzenheim;87214130;67150;0.0;61628;61628;51545;51545;43200;43200
Mauzac-et-Grand-Castang;87584466;24150;0.0;2241;2241;1616;1616;1476;1476
Mérenvielle;87611814;31530;0.0;51848;51848;56212;56212;49538;49538
Miramas;87753004;13140;0.1999999999999999;813740;1017175;716877;896096;682995;853744
Monestier-de-Clermont;87747592;38650;0.0;40197;40197;32178;32178;19912;19912
Montaut Bétharram;87672113;64800;0.0;651;651;338;338;244;244
Montchanin;87694307;71210;0.0;153087;153087;128362;128362;179809;179809
Montfavet;87765412;84140;0.0;28531;28531;24984;24984;27675;27675
Montpellier Sud de France;87688887;34000;0.21;2514013;3182294;1918295;2428221;1660814;2102296
Montreuil-Bellay;87487637;49260;0.0;12060;12060;10506;10506;9781;9781
Moult - Argences;87444190;14370;0.0;78763;78763;74753;74753;61050;61050
Nanteuil-le-Haudouin;87271577;60440;0.1999999999999999;510872;638590;474083;592604;446309;557886
Neufchâtel-Hardelot;87317099;62152;0.0;21339;21339;18941;18941;19104;19104
Neuillé-Pont-Pierre;87571547;37360;0.0;10491;10491;12525;12525;18288;18288
Nexon;87592725;87800;0.0;66137;66137;72676;72676;56990;56990
Nézel - Aulnay;87381731;78410;0.0;97394;97394;88357;88357;68248;68248
Nogent - Le Perreux;87113746;94130;0.0;3542750;3542750;3212846;3212846;3019593;3019593
Noisy-le-Sec;87113217;93130;0.0;18359020;18359020;16649415;16649415;15647951;15647951
Nortkerque;87287292;62370;0.0;8754;8754;8070;8070;5755;5755
Orchies;87286583;59310;0.2;1158031;1447539;1109770;1387213;1000192;1250240
Orly Ville;87546200;94310;0.0;1746954;1746954;1584153;1584153;1488640;1488640
Ouges;87712604;21600;0.0;10933;10933;11403;11403;8945;8945
Pagny-le-Château;87713669;21250;0.0;11439;11439;10466;10466;12001;12001
Plouharnel - Carnac;87476416;56340;0.0;14556;14556;10191;10191;8496;8496
Polliat;87725846;1310;0.0;10338;10338;9050;9050;6999;6999
Pont de Bois;87286831;59650;0.0;43205;43205;42987;42987;41946;41946
Pontchaillou;87471391;35033;0.2;405981;507477;363931;454914;340500;425625
Pontrieux Halte;87473835;22260;0.0;12684;12684;11032;11032;9334;9334
Quesnoy-sur-Deûle;87286245;59890;0.0;21;21;37;37;35;35
Rabastens - Coufouleux;87615328;81800;0.2;193996;242495;213007;266259;199016;248770
Remy;87313403;60190;0.0;11842;11842;8698;8698;7711;7711
Riedseltz;87213462;67120;0.0;12080;12080;9902;9902;8528;8528
Saillagouse;87784835;66800;0.0;2943;2943;3713;3713;3754;3754
Saint-Amand-Longpré;87574640;41310;0.0;9045;9045;7962;7962;5454;5454
Saint-Avre - La Chambre;87741306;73130;0.0;86739;86739;79591;79591;75854;75854
Saint-Brieuc;87473009;22000;0.1999999999999999;1946492;2433115;1834483;2293104;1610864;2013580
Saint-Claude;87743633;39200;0.0;52552;52552;42833;42833;34580;34580
Saint-Égrève Saint-Robert;87747352;38120;0.0;84142;84142;75715;75715;76528;76528
Saint-Émilion;87584102;33330;0.0;162603;162603;158142;158142;121804;121804
Saint-Étienne Bellevue;87726190;42100;0.0;152963;152963;136114;136114;127259;127259
Saint-Georges-de-Luzençon;87783423;12100;0.0;1909;1909;1007;1007;707;707
Saint-Hilaire-au-Temple;87174441;51400;0.0;0;0;0;0;0;0
Saint-Médard-de-Guizières;87584607;33230;0.0;83899;83899;67583;67583;62050;62050
Saint-Médard-d'Eyrans;87582692;33650;0.0;98569;98569;92078;92078;82136;82136
Saint-Pierre-des-Corps;87571240;37700;0.2;4356356;5445445;4252582;5315727;3784800;4731000
Saint-Rambert-d'Albon;87761106;26140;0.2;417181;521477;374027;467534;338699;423374
Saint-Remy-en-l'Eau;87313288;60130;0.0;321;321;236;236;123;123
Saint-Seurin-sur-l'Isle;87584615;33660;0.0;155568;155568;138864;138864;133870;133870
Saint-Victor - Thizy;87721043;42630;0.0;31538;31538;29126;29126;27710;27710
Sarralbe;87193714;57430;0.0;2048;2048;2934;2934;2754;2754
Schweighouse-sur-Moder;87213108;67590;0.0;50887;50887;37979;37979;30509;30509
Sélestat;87214056;67600;0.02000000000000002;2807837;2865139;2702636;2757792;2400515;2449506
Sisteron;87751206;4200;0.0;64637;64637;48324;48324;43042;43042
Solignac - Le Vigen;87592246;87110;0.0;5108;5108;4834;4834;4249;4249
Vallorcine;87746875;74660;0.0;53251;53251;39986;39986;23648;23648
Vaux-et-Chantegrue;87715201;25160;0.0;65;65;635;635;569;569
Vern-sur-Seiche;87471029;35770;0.0;16997;16997;12430;12430;10521;10521
Vic-le-Comte;87734186;63270;0.2;303094;378868;271679;339599;251884;314855
Vidauban;87755421;83550;0.0;19866;19866;19083;19083;17492;17492
Vif;87747576;38450;0.0;8595;8595;7735;7735;41839;41839
Villers-Saint-Paul;87276378;60870;0.0;99340;99340;86012;86012;80039;80039
Vivonne;87575290;86370;0.0;58856;58856;46072;46072;38183;38183
Voiron;87747287;38500;0.03000000000000003;1651235;1702304;1519335;1566325;1524325;1571469
Vosves;87682500;77190;0.0;59311;59311;32109;32109;30173;30173
Alaï;87722744;69340;0.0;51699;51699;46652;46652;48664;48664
Anchamps;87172858;8500;0.0;7459;7459;9409;9409;7550;7550
Aubin;87613224;12110;0.0;15163;15163;17393;17393;9960;9960
Audrieu;87444059;14250;0.0;32667;32667;25120;25120;20670;20670
Barenton-Bugny;87297291;2000;0.0;10848;10848;11265;11265;11089;11089
Beaulieu-sur-Mer;87756379;6310;0.2;692410;865512;620108;775135;525707;657134
Beauvoir-sur-Niort;87485342;79360;0.0;31767;31767;39487;39487;38082;38082
Belvezet;87783670;48170;0.0;535;535;528;528;535;535
Bitche;87193821;57230;0.0;34030;34030;36242;36242;30852;30852
Blaisy-Bas;87713073;21540;0.0;49299;49299;45883;45883;48459;48459
Bonnemain;87478065;35270;0.0;9861;9861;8888;8888;5434;5434
Bordeaux Saint-Jean;87581009;33800;0.1899999999999999;23006240;28402765;22612374;27916511;21353889;26362827
Boussay - La Bruffière;87481176;44190;0.0;44288;44288;44026;44026;37644;37644
Caen;87444000;14000;0.1731343283582089;4255508;5146553;4134926;5000722;3753065;4538905
Carry-le-Rouet;87753566;13620;0.0;108272;108272;91010;91010;80178;80178
Castillon-la-Bataille;87584136;33350;0.2;206340;257925;203032;253790;183626;229532
Challans;87481390;85300;0.2;241956;302445;223880;279850;208494;260618
Chamalières-sur-Loire;87734731;43800;0.0;2892;2892;2822;2822;3125;3125
Chaux-des-Crotenay;87715383;39230;0.0;4818;4818;3532;3532;3102;3102
Chirac;87783290;48100;0.0;436;436;44;44;72;72
Courtalain - Saint-Pellerin;87394494;28290;0.0;4207;4207;4479;4479;7012;7012
Coutras;87584516;33230;0.2;477256;596570;428616;535771;425844;532305
Crouy-sur-Ourcq;87116640;77840;0.0;222528;222528;219181;219181;176703;176703
Cuinchy;87342410;62149;0.0;44355;44355;37588;37588;34787;34787
