Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Les Coquetiers;87113845;93250;0.0;1386734;1386734;1257508;1257508;1181755;1181755
Les Eyzies-de-Tayac-Sireuil;87595736;24620;0.0;19660;19660;19771;19771;18117;18117
Libercourt;87345256;62820;0.2;964100;1205125;886480;1108100;774844;968555
Lille Europe;87223263;59777;0.37;6642464;10543594;6721133;10668465;6056899;9614126
L'Isle-sur-le-Doubs;87184572;25250;0.0;132116;132116;125662;125662;123373;123373
Loos lez Lille;87286112;59120;0.0;57811;57811;47194;47194;42385;42385
Louvres;87276253;95380;0.0;2420732;2420732;1980516;1980516;1860250;1860250
Ludres;87141481;54710;0.0;30115;30115;24159;24159;21795;21795
Maizières-lès-Metz;87191106;57210;0.03000000000000006;341339;351896;323371;333372;266195;274428
Mareil-Marly;87733667;78750;0.0;377465;377465;295228;295228;139813;139813
Marne-la-Vallée Chessy;87111849;77700;0.03816793893129766;4448487;4625014;4319252;4490651;4641120;4825292
Mayet;87396580;72360;0.0;29235;29235;27067;27067;23316;23316
Mézidon-Canon;87444208;14270;0.02999999999999999;359744;370870;356499;367525;318511;328362
Millau;87783001;12100;0.0;38857;38857;45133;45133;38166;38166
Montrabé;87611848;31850;0.0;46274;46274;49370;49370;45468;45468
Moreuil;87313320;80110;0.1999999999999999;246328;307910;212537;265671;188341;235426
Morvillars;87184424;90120;0.0;13548;13548;9622;9622;9808;9808
Mulhouse Dornach;87182055;68200;0.2;253994;317492;234086;292607;186927;233659
Nançois - Tronville;87175067;55500;0.0;1216;1216;1288;1288;1191;1191
Nantiat;87592444;87140;0.0;24186;24186;19639;19639;18794;18794
Nérondes;87576454;18350;0.0;38605;38605;33743;33743;32042;32042
Niort;87485300;79000;0.2;1394556;1743195;1482134;1852668;1320394;1650493
Nogent-sur-Vernisson;87684274;45290;0.0;89229;89229;77468;77468;67132;67132
Nointel - Mours;87276758;95590;0.0;427226;427226;387335;387335;377139;377139
Onville;87192435;54890;0.0;11644;11644;12660;12660;10059;10059
Pomas;87615146;11250;0.0;1401;1401;1016;1016;1169;1169
Pompadour;87594663;19410;0.0;2;2;474;474;1790;1790
Pont-l'Évêque;87444349;14130;0.0;164885;164885;143454;143454;123946;123946
Pont-Melvez;87473520;22390;0.0;4506;4506;5285;5285;6315;6315
Pouxeux;87144428;88550;0.0;23203;23203;24513;24513;21986;21986
Quillan;87615260;11500;0.0;37006;37006;36728;36728;35958;35958
Quimperlé;87476317;29300;0.2099999999999999;503306;637096;446178;564783;409857;518806
Razac-sur-l'Isle;87595223;24430;0.0;45077;45077;26425;26425;9118;9118
Recquignies;87295022;59245;0.0;2823;2823;2332;2332;1964;1964
Remiremont;87144451;88200;0.1999999999999999;360999;451249;363176;453970;319312;399140
Rochy-Condé;87313601;60510;0.0;10598;10598;10804;10804;6234;6234
Sainte-Geneviève-des-Bois;87545210;91700;0.0;3891084;3891084;3528463;3528463;3315717;3315717
Saint-Germain-en-Laye Bel-Air - Fourqueux;87733675;78100;0.0;882705;882705;800369;800369;378967;378967
Saint-Laurent-de-la-Prée - Fouras;87485136;17450;0.0;47948;47948;39834;39834;39829;39829
Saint-Léon-sur-l'Isle;87595264;24110;0.0;25578;25578;23551;23551;19074;19074
Saint-Ouen-l'Aumône;87276105;95310;0.0;2052836;2052836;1860521;1860521;1826988;1826988
Saint-Sébastien Pas Enchantés;87354589;44230;0.0;53105;53105;46149;46149;36316;36316
Sallanches - Combloux - Megève;87746438;74700;0.08999999999999997;391614;430345;366452;402695;358306;393743
Salses-le-Château;87784157;66600;0.0;39128;39128;44852;44852;39917;39917
Sauveterre-la-Lémance;87586495;47500;0.0;1069;1069;890;890;1446;1446
Schwindratzheim;87212159;67270;0.0;100181;100181;86652;86652;79794;79794
Serdinya;87784702;66360;0.0;336;336;330;330;418;418
Servas - Lent;87723791;1960;0.0;84262;84262;72041;72041;65465;65465
Sospel;87756825;6380;0.0;54330;54330;59023;59023;45712;45712
Steinbourg;87212209;67790;0.0;30170;30170;25742;25742;21947;21947
Thenissey;87713099;21150;0.0;4804;4804;3477;3477;3923;3923
Valdahon;87718544;25800;0.1999999999999999;155474;194342;209409;261762;210288;262860
Verneuil-l'Étang;87116079;77390;0.0;655014;655014;593916;593916;551528;551528
Vierzy;87271783;2210;0.0;951;951;965;965;555;555
Virville - Manneville;87413336;76110;0.0;0;0;0;0;0;0
Wittring;87193656;57137;0.0;2;2;1362;1362;1927;1927
Boisleux-au-Mont;87342071;62175;0.0;2102;2102;1857;1857;2055;2055
Boissise-le-Roi;87682518;77310;0.0;126786;126786;113560;113560;106713;106713
Boulainvilliers;87543181;75016;0.0;3034357;3034357;2751577;2751577;2585668;2585668
Boulogne Tintelleries;87317016;62200;0.1999999999999999;274672;343340;232431;290539;267068;333835
Bourgoin-Jallieu;87723429;38300;0.04000000000000006;2123008;2211466;1947973;2029138;1846340;1923271
Boves;87313213;80440;0.0;19627;19627;15539;15539;16122;16122
Brignoud;87747451;38190;0.02999999999999999;349852;360672;340306;350831;310975;320593
Brionne;87415364;27800;0.0;55766;55766;30901;30901;25360;25360
Bully - Grenay;87342105;62160;0.1999999999999999;141322;176652;127427;159284;121994;152492
Cantin;87345413;59169;0.0;10043;10043;14741;14741;20021;20021
Cassel;87281139;59670;0.0;155353;155353;134927;134927;115188;115188
Ceintrey;87141572;54109;0.0;5693;5693;4320;4320;2568;2568
Cergy le Haut;87382655;95800;0.0;7882317;7882317;7148098;7148098;7096311;7096311
Cessieu;87723452;38110;0.0;78017;78017;63210;63210;53457;53457
Cesson-Sévigné;87334490;35510;0.2;207859;259824;182461;228077;166593;208241
Chalon-sur-Saône;87725002;71100;0.1999999999999999;1696120;2120150;1602704;2003380;1598581;1998226
Chamarande;87545152;91730;0.0;172061;172061;156026;156026;146618;146618
Chambéry - Challes-les-Eaux;87741009;73010;0.2;5105918;6382398;4738346;5922933;4316253;5395317
Chantilly - Gouvieux;87276113;60500;0.09999999999999994;2897119;3219021;2762384;3069316;2600290;2889211
Chaponval;87276162;95430;0.0;45128;45128;40596;40596;47276;47276
Chasseneuil-sur-Bonnieure;87583443;16260;0.0;70;70;301;301;122;122
Châteauroux;87597005;36000;0.2;766220;957775;734307;917884;733059;916324
Châtelaudren - Plouagat;87473140;22170;0.0;19615;19615;18555;18555;18476;18476
Chocques;87342220;62920;0.0;2245;2245;2510;2510;2735;2735
Cluses;87746370;74300;0.1999999999999999;633653;792066;581775;727219;551956;689946
Colmar;87182014;68000;0.11;4974388;5589200;4728720;5313168;4103990;4611225
Commentry;87641415;3600;0.0;109615;109615;104766;104766;101419;101419
Contrexéville;87144287;88140;0.0;39624;39624;40125;40125;33195;33195
Corcy;87272286;2600;0.0;2;2;30;30;3;3
Couliboeuf;87444232;14620;0.0;0;0;0;0;0;0
Croix du Prince;87672600;64000;0.0;9812;9812;7338;7338;5957;5957
Dardilly Les Mouilles;87721480;69570;0.0;26429;26429;20221;20221;26156;26156
Dégagnac;87613174;46340;0.0;580;580;555;555;382;382
Die;87761841;26150;0.0;89813;89813;78396;78396;67564;67564
Dives-sur-Mer Port Guillaume;87337378;14160;0.0;3444;3444;2906;2906;3223;3223
Dol-de-Bretagne;87478073;35120;0.0;654150;654150;605945;605945;543868;543868
Dourdan;87545525;91410;0.0;922698;922698;836709;836709;786264;786264
Elne;87784207;66200;0.0;88225;88225;83129;83129;76307;76307
Essonnes Robinson;87681601;91100;0.0;276023;276023;247438;247438;232520;232520
Gaillon - Aubevoye;87415620;27600;0.2;565793;707241;628056;785071;550836;688545
Gauriaguet;87491225;33240;0.0;72537;72537;70044;70044;60009;60009
Gignac - Cressensac;87594325;46600;0.0;1442;1442;512;512;276;276
Glos - Montfort;87415349;27290;0.0;0;0;0;0;0;0
Guimiliau;87474296;29400;0.0;1877;1877;946;946;909;909
Guingamp;87473207;22200;0.1999999999999999;1070109;1337636;1050571;1313214;922076;1152596
Hangest-sur-Somme;87313114;80310;0.0;57553;57553;48759;48759;45553;45553
Heilles - Mouchy;87316398;60250;0.0;4141;4141;5133;5133;5848;5848
Heilly;87316059;80113;0.0;13785;13785;12358;12358;8233;8233
Ingersheim - Cité Scolaire;87303875;68040;0.0;21650;21650;9424;9424;7020;7020
Agay;87757559;83530;0.0;45285;45285;39364;39364;32800;32800
Alençon;87444711;61000;0.1999999999999999;478757;598446;455836;569795;411567;514458
Anché - Voulon;87575332;86700;0.0;22870;22870;18386;18386;15283;15283
Ancy-sur-Moselle;87192419;57130;0.0;56012;56012;58712;58712;56877;56877
Annecy;87746008;74000;0.2;3202251;4002814;3000715;3750894;2817701;3522126
Baraqueville Carcenac Peyralès;87615757;12160;0.0;15762;15762;17518;17518;13212;13212
Baroncourt;87192658;55240;0.0;33758;33758;43344;43344;20257;20257
Bayonne;87673004;64100;0.11;1686266;1894681;1475383;1657734;1322129;1485538
Beaumont-le-Roger;87387183;27170;0.0;16294;16294;15218;15218;12724;12724
Belleville sur Sâone;87721357;69220;0.02999999999999997;1163935;1199933;1084012;1117538;1029985;1061840
Billy-Montigny;87345140;62420;0.2;204997;256247;192694;240867;175848;219810
Estressin;87722579;38200;0.0;141367;141367;118897;118897;114242;114242
Étaples - Le Touquet;87317065;62630;0.0700000000000001;577831;621323;524304;563768;533197;573330
Étival-Clairefontaine;87144642;88480;0.0;61702;61702;59582;59582;58524;58524
Évron;87478552;53600;0.2;181007;226259;167670;209588;148718;185898
Farébersviller;87193516;57450;0.0;2453;2453;2560;2560;1340;1340
Felletin;87597849;23500;0.0;1700;1700;882;882;383;383
Fontaines - Mercurey;87713586;71150;0.0;45462;45462;44665;44665;52096;52096
Fouday;87214734;67130;0.0;17713;17713;13105;13105;11309;11309
La Bernerie-en-Retz;87481267;44760;0.0;54839;54839;55080;55080;46940;46940
La Courneuve - Aubervilliers;87271304;93120;0.0;16101629;16101629;14599726;14599726;11989659;11989659
La Croix de Méan;87481689;44600;0.0;10357;10357;8675;8675;5910;5910
La Faloise;87313239;80250;0.0;16712;16712;12440;12440;10600;10600
La Marche;87691394;58400;0.0;1164;1164;1422;1422;2320;2320
La Plaine Stade de France - Saint-Denis - Aubervilliers;87164798;93200;0.0;14344392;14344392;13008410;13008410;13005557;13005557
La Tour-de-Salvagny;87721548;69890;0.1999999999999999;180491;225614;162914;203643;166235;207794
Labenne;87673293;40530;0.0;73876;73876;62827;62827;55399;55399
Landrecies;87295642;59550;0.0;10654;10654;12310;12310;11225;11225
Laroquebrou;87645135;15150;0.0;5725;5725;4387;4387;3741;3741
Laveline-devant-Bruyères;87144162;88600;0.0;2963;2963;4957;4957;4885;4885
Le Bourget;87271395;93350;0.0;23702564;23702564;21492495;21492495;18333290;18333290
Le Buet;87746883;74660;0.0;5451;5451;3968;3968;2857;2857
Le Poirier Université;87343210;59125;0.0;89600;89600;84969;84969;84268;84268
Les Pélerins;87746776;74400;0.0;6448;6448;4693;4693;4558;4558
Leucate La Franqui;87781088;11370;0.0;116857;116857;118543;118543;107549;107549
Lexos;87613489;82330;0.0;15501;15501;16520;16520;14578;14578
Libourne;87584052;33500;0.22;1942950;2490962;1784433;2287735;1690650;2167501
Limoges Montjovis;87592022;87100;0.0;22269;22269;18369;18369;25342;25342
Longuyon;87194274;54260;0.0;56255;56255;56171;56171;62734;62734
Louverné;87478511;53950;0.0;44;44;915;915;909;909
Lunel;87773408;34400;0.2;863440;1079300;871702;1089628;754365;942957
Lussac-les-Châteaux;87575845;86320;0.0;33668;33668;29910;29910;28000;28000
Macau;87581199;33460;0.0;74794;74794;67598;67598;58233;58233
Manosque - Gréoux-les-Bains;87751321;4100;0.0;131129;131129;104623;104623;89993;89993
Marignac - Saint-Béat;87611194;31440;0.0;2238;2238;2786;2786;2436;2436
Marigny;87485334;79360;0.0;13510;13510;13441;13441;11010;11010
Marly-le-Roi;87382465;78160;0.0;2055687;2055687;1863939;1863939;1881402;1881402
Mennetou-sur-Cher;87576728;41320;0.0;3052;3052;1639;1639;1257;1257
Mérens-les-Vals;87611525;9110;0.0;10813;10813;8454;8454;6957;6957
Méroux;87184408;90400;0.2;72069;90087;60663;75829;50340;62925
Mertzwiller;87213207;67580;0.0;151293;151293;147944;147944;141651;141651
Metz Nord;87192070;57000;0.0;86236;86236;64870;64870;48453;48453
Meung-sur-Loire;87574137;45130;0.1999999999999999;466159;582699;440380;550475;395501;494376
Milhaud;87775098;30540;0.0;3293;3293;3176;3176;3616;3616
Monsempron-Libos;87586453;47500;0.0;47114;47114;41002;41002;37756;37756
Monte-Carlo Country Club;87338590;6190;0.0;22425;22425;16170;16170;7624;7624
Montferrand - Thoraise;87718106;25320;0.0;3554;3554;4341;4341;4199;4199
Montigny-en-Ostrevent;87345306;59182;0.2;153647;192059;144760;180950;134172;167715
Mont-Louis - La Cabanasse;87784793;66210;0.0;79888;79888;90115;90115;85238;85238
Montluçon Rimard;87323675;3100;0.0;6617;6617;10664;10664;12871;12871
Montreux-Vieux;87184275;68210;0.0;81491;81491;82688;82688;72246;72246
Morcenx;87673103;40110;0.2;282478;353098;265157;331447;233950;292438
Moulin Galant;87681403;91100;0.0;711450;711450;556607;556607;523046;523046
Nerpuy;87575167;86630;0.0;10941;10941;6961;6961;6375;6375
Paris Bercy Bourgogne - Pays d'Auvergne;87686667;75012;0.03649635036496351;5504359;5712858;5073990;5266187;4764857;4945344
Perrignier;87745620;74550;0.0;117355;117355;107608;107608;85299;85299
Picon Busserine;87759290;13014;0.0;20435;20435;16162;16162;14851;14851
Poix-Terron;87172171;8430;0.0;115969;115969;109534;109534;100007;100007
Pont-de-Buis;87474056;29590;0.0;51764;51764;45895;45895;35454;35454
Pont-Remy;87313130;80580;0.0;25886;25886;21237;21237;15979;15979
Prin-Deyrançon;87485268;79210;0.0;3135;3135;2787;2787;5100;5100
Riom - Châtel-Guyon;87734053;63200;0.14;1318440;1533070;1192180;1386255;1058564;1230888
Rivarennes;87571653;37190;0.0;33467;33467;24198;24198;27365;27365
Romorantin-Lanthenay;87576025;41200;0.2;98540;123175;138084;172605;208914;261143
Saint-Fons;87728501;69190;0.0;156636;156636;91800;91800;79274;79274
Saint-Gaudens;87611137;31800;0.1999999999999999;344973;431217;363672;454590;282401;353001
Saint-Loubès;87584730;33450;0.0;186164;186164;158784;158784;134418;134418
Saint-Louis La Chaussée;87181016;68300;0.0;72702;72702;68943;68943;57948;57948
Saint-Michel-sur-Meurthe;87144683;88470;0.0;1820;1820;2937;2937;2472;2472
Saint-Quentin;87296004;2100;0.2;1435404;1794255;1319977;1649971;1207993;1509991
Saint-Vincent-de-Tyrosse;87673277;40230;0.1999999999999999;282632;353290;241982;302477;214619;268274
Scherwiller;87214205;67750;0.0;11410;11410;12805;12805;9614;9614
Sessenheim;87212365;67770;0.0;101767;101767;101239;101239;89110;89110
Sevran Beaudottes;87271445;93270;0.0;10250541;10250541;9294559;9294559;7249470;7249470
Sommery;87411462;76440;0.0;6399;6399;8303;8303;5838;5838
Survilliers - Fosses;87276261;95470;0.0;2473723;2473723;1856300;1856300;1745412;1745412
Thiviers;87595124;24800;0.0;149541;149541;125501;125501;115906;115906
Tonnay-Charente;87485151;17430;0.0;39220;39220;31636;31636;28272;28272
Tournemire - Roquefort;87783456;12250;0.0;2271;2271;1647;1647;1100;1100
Triel-sur-Seine;87381806;78510;0.0;798567;798567;724079;724079;771326;771326
Uckange;87191130;57270;0.02000000000000008;813782;830389;743560;758735;686225;700230
Vesoul;87185009;70000;0.2;236846;296057;223051;278813;238617;298271
Villefranche-sur-Mer;87756361;6230;0.2;726769;908461;654801;818501;503934;629918
Walbach;87182360;68230;0.0;3197;3197;3249;3249;2522;2522
Abancourt;87313759;60220;0.0;90965;90965;77974;77974;71517;71517
Ambazac;87592311;87240;0.0;57718;57718;44786;44786;35478;35478
Anizy - Pinon;87296566;2320;0.0;126609;126609;116605;116605;97130;97130
Anor;87295055;59186;0.0;25016;25016;21929;21929;18987;18987
Anse Halte;87721324;69480;0.1999999999999999;527369;659212;486744;608430;468208;585260
Arras;87342014;62000;0.1999999999999999;4773655;5967069;4454183;5567728;3920113;4900141
Aubazines - Saint-Hilaire;87594465;19190;0.0;12449;12449;10482;10482;9738;9738
Aubie - Saint-Antoine;87491233;33240;0.0;58449;58449;57877;57877;54573;54573
Avenay;87171579;51160;0.0;38477;38477;39109;39109;31476;31476
Avenue Henri Martin;87381046;75016;0.0;784358;784358;711262;711262;668376;668376
Azay-sur-Cher;87574442;37270;0.0;20791;20791;19583;19583;22517;22517
Bagneaux-sur-Loing;87684191;77167;0.0;127269;127269;115295;115295;24011;24011
Barentin;87411264;76360;0.2;290059;362573;309207;386508;235049;293811
Bar-sur-Aube;87118299;10200;0.0;111576;111576;105605;105605;85393;85393
Basse-Ham;87191601;57110;0.0;890;890;1651;1651;562;562
Belfort - Montbéliard TGV;87300822;90400;0.24;664494;874334;668206;879219;605331;796488
Bellegarde-sur-Valserine;87745000;1200;0.15;1769256;2081477;1723382;2027508;1500251;1765001
Bertrichamps;87141424;54120;0.0;8497;8497;5103;5103;3487;3487
Bollwiller;87182709;68540;0.2;396239;495298;367349;459186;303384;379230
Bonson;87726414;42160;0.0;64689;64689;60899;60899;58831;58831
Bouchain;87345389;59111;0.0;26813;26813;27510;27510;25412;25412
Breitenbach;87182659;68380;0.0;34957;34957;28551;28551;28767;28767
Callac;87473546;22160;0.0;37916;37916;41523;41523;40638;40638
Cannes;87757625;6400;0.19;5622415;6941253;5392921;6657928;4487177;5539725
Carhaix-Plouguer;87473504;29270;0.0;64579;64579;63836;63836;59351;59351
Ceyzériat;87743302;1250;0.0;8296;8296;5776;5776;5267;5267
Chagny;87713578;71150;0.2;422474;528093;374370;467962;419221;524026
Charbonnières-les-Bains;87721530;69260;0.2;276113;345142;247616;309521;252635;315794
Cloyes-sur-le-Loir;87574509;28220;0.0;23546;23546;21144;21144;19900;19900
Cognac;87491449;16100;0.0;190237;190237;151834;151834;158552;158552
Collonges-lès-Premières;87713321;21110;0.0;49759;49759;41346;41346;43636;43636
Compiègne;87276691;60200;0.1999999999999999;2804320;3505400;2537416;3171771;2341622;2927027
Conflans Fin d'Oise;87381459;78700;0.0;7385500;7385500;6697282;6697282;6673880;6673880
Corbeil-Essonnes;87681007;91100;0.0;11896397;11896397;8651118;8651118;8129611;8129611
Corbigny;87696617;58800;0.0;9165;9165;8597;8597;8237;8237
Couilly - Saint-Germain - Quincy;87116731;77860;0.0;121776;121776;110417;110417;84535;84535
Delle;87184440;90100;0.0;80841;80841;32269;32269;31341;31341
Digoin;87694695;71160;0.0;29838;29838;28459;28459;31506;31506
Drancy;87271403;93700;0.0;9869635;9869635;8948970;8948970;7412637;7412637
Durtol - Nohanent;87641449;63830;0.0;3209;3209;1060;1060;984;984
Épinay-sur-Seine T11;87697292;93800;0.0;4699683;4699683;0;0;0;0
Esquelbecq;87281113;59470;0.02000000000000004;174321;177879;158634;161871;149425;152475
Estrées-Saint-Denis;87313387;60190;0.0;75710;75710;64751;64751;57584;57584
Étainhus - Saint-Romain;87413328;76430;0.0;60792;60792;73535;73535;55420;55420
Étréchy;87545145;91580;0.0;669705;669705;607296;607296;570676;570676
Farbus;87342527;62580;0.0;565;565;614;614;1070;1070
Feurs;87726877;42110;0.2;186650;233312;174287;217858;172283;215354
Foucart - Alvimare;87413377;76640;0.0;7603;7603;7705;7705;6551;6551
Fougeré;87486316;85480;0.0;1548;1548;1383;1383;1808;1808
Frontignan;87773556;34110;0.1999999999999999;466843;583554;476785;595982;432281;540352
Génelard;87694653;71420;0.0;14966;14966;13881;13881;19122;19122
Gimont Cahuzac;87611772;32200;0.0;65166;65166;71082;71082;59368;59368
Givet;87172130;8600;0.0;145155;145155;146457;146457;104593;104593
Grand Bourg;87681353;91000;0.0;373677;373677;265786;265786;249760;249760
Grigny Centre;87681379;91350;0.0;6171646;6171646;6550029;6550029;6155100;6155100
Ham;87313494;80400;0.1999999999999999;203396;254245;181300;226625;175319;219148
Hesdin;87317222;62140;0.0;66354;66354;57469;57469;45253;45253
Invalides;87393033;75007;0.0;10764177;10764177;9761032;9761032;9172483;9172483
Janzé;87471334;35150;0.2;261077;326346;253271;316589;215585;269481
Jonchery-sur-Vesle;87171314;51140;0.0;141140;141140;141386;141386;122546;122546
La Bastide - Saint-Laurent-les-Bains;87775171;48250;0.0;30347;30347;30028;30028;26451;26451
La Bourboule;87641464;63150;0.0;0;0;52;52;12072;12072
La Défense;87382218;92800;0.0;31729688;31729688;28148302;28148302;35649320;35649320
La Hisse;87478156;22100;0.0;787;787;724;724;1143;1143
La Joux;87746842;74400;0.0;738;738;776;776;494;494
La Madeleine;87286187;59110;0.0;27897;27897;19529;19529;18027;18027
La Miouze - Rochefort;87641290;63310;0.0;0;0;0;0;1;1
La Redonne Ensuès;87753574;13820;0.0;81953;81953;64027;64027;62581;62581
La Taye;87394403;28110;0.0;7984;7984;8898;8898;13116;13116
Lagny - Thorigny;87116319;77400;0.0;3857632;3857632;3498118;3498118;3156126;3156126
Lamagistère;87611855;82360;0.0;29911;29911;24414;24414;22403;22403
Lancerf;87473850;22860;0.0;815;815;908;908;964;964
Le Plessis-Belleville;87271551;60330;0.2;845261;1056576;784687;980858;727692;909616
Lépin-le-Lac - La Bauche;87741439;73610;0.0;104659;104659;91097;91097;78670;78670
Les Abrets - Fitilieu;87741496;38490;0.0;5208;5208;4674;4674;4918;4918
Les Aubrais;87543017;45400;0.2;1537304;1921630;1332373;1665466;1286538;1608173
Liverdun;87141069;54460;0.0;44299;44299;39115;39115;35166;35166
Lucé;87394015;28110;0.0;12934;12934;11847;11847;16305;16305
Magnette;87641365;3260;0.0;1176;1176;917;917;950;950
Marcheprime;87582445;33380;0.04000000000000005;570242;594002;568206;591881;524066;545902
Maroeuil;87342188;62161;0.0;10955;10955;8403;8403;4074;4074
Marseille Blancarde;87751081;13004;0.2;741837;927296;691530;864413;663750;829688
Meurchin;87345272;62410;0.0;44947;44947;47118;47118;46325;46325
Mont de Terre;87287128;59000;0.0;584;584;532;532;185;185
Montreuil;87382879;78000;0.0;2207745;2207745;2001814;2001814;2010237;2010237
Montville;87411801;76710;0.1999999999999999;147206;184008;170616;213270;144073;180091
Mouy - Bury;87313577;60250;0.2;227429;284286;204405;255506;189546;236933
Muizon;87171298;51140;0.0;140142;140142;132055;132055;116235;116235
Nœux-les-Mines;87342139;62390;0.0;83446;83446;79176;79176;81665;81665
Nogent-sur-Seine;87118190;10400;0.2;277171;346463;253163;316454;200463;250579
Nort-sur-Erdre;87481598;44390;0.2;415659;519573;390785;488481;337662;422077
Notre-Dame-d'Oé;87574699;37390;0.0;6565;6565;4406;4406;1709;1709
Paris Gare du Nord;87271007;75010;0.244648318042813;257024152;291681697;226768485;256157424;211698470;239949211
Paulhaguet;87734293;43230;0.0;2830;2830;2717;2717;2160;2160
Périgueux;87595009;24000;0.14;1219545;1418076;1058844;1231214;968530;1126198
Plaisir - Les Clayes;87393629;78370;0.0;1308467;1308467;1186883;1186883;795995;795995
Port-de-Piles;87575076;37160;0.0;54807;54807;53551;53551;48602;48602
Porté-Puymorens;87611509;66760;0.0;7732;7732;5415;5415;4433;4433
Précy-sur-Oise;87276410;60460;0.0;92803;92803;83661;83661;75302;75302
Pringy;87746206;74370;0.0;67997;67997;52748;52748;44336;44336
Puybrun;87594754;46130;0.0;2053;2053;1813;1813;1688;1688
Quimper;87474098;29000;0.2;1753601;2192001;1619395;2024244;1483787;1854733
Rang-du-Fliers - Verton - Berck;87317057;62180;0.2;344909;431136;311769;389711;315635;394544
Rombas - Clouange;87191734;57120;0.0;79295;79295;66116;66116;58928;58928
Rouen Rive Droite;87411017;76000;0.16;7773267;9253889;8094665;9636506;6977129;8306106
Royat - Chamalières;87734038;63130;0.0;5871;5871;4243;4243;3741;3741
Saint-André-le-Gaz;87723494;38490;0.09;213574;234697;195125;214423;185230;203549
Saint-Aunès;87773465;34130;0.0;15540;15540;10954;10954;7074;7074
Saint-Étienne Carnot;87726901;42000;0.0;146638;146638;126275;126275;120629;120629
Saint-Germain-du-Puy;87576405;18390;0.0;8299;8299;8305;8305;7210;7210
Saint-Laurent-du-Var;87756346;6700;0.1999999999999999;1068051;1335064;1021813;1277267;827056;1033820
Saint-Laurent-en-Grandvaux;87715417;39150;0.0;25885;25885;23100;23100;24545;24545
Saint-Michel-sur-Orge;87545202;91240;0.0;3360551;3360551;3047372;3047372;2863633;2863633
Saint-Pierre-de-Chignac;87595520;24330;0.0;8310;8310;5204;5204;3035;3035
Salles-Courbatiès;87613877;12260;0.0;4451;4451;4542;4542;4282;4282
Sées;87444695;61500;0.0;103413;103413;91220;91220;76533;76533
Septèmes-les-Vallons;87751800;13240;0.0;32650;32650;28052;28052;28311;28311
Sucé-sur-Erdre;87590828;44240;0.1999999999999999;205804;257255;190164;237705;165475;206843
Templeuve;87286625;59242;0.2;701555;876944;662620;828275;593652;742065
Terrasson-Lavilledieu;87594408;24120;0.0;47218;47218;39148;39148;36251;36251
Tracy - Sancerre;87696161;58150;0.0;20703;20703;15175;15175;15200;15200
Trélazé;87701532;49800;0.0;72354;72354;72714;72714;60813;60813
Val d'Argenteuil;87381798;95100;0.0;7015546;7015546;6361192;6361192;6287678;6287678
Valence d'Agen;87611863;82400;0.0;97814;97814;100125;100125;87101;87101
Valleiry;87745414;74520;0.0;73922;73922;70220;70220;58030;58030
Vayrac;87594739;46110;0.0;413;413;47;47;118;118
Verneuil-sur-Vienne;87592675;87430;0.0;0;0;0;0;0;0
Viry-Châtillon;87681312;91170;0.0;2752076;2752076;2193405;2193405;2061155;2061155
Viry-Noureuil;87297051;2300;0.0;1037;1037;840;840;354;354
Voutré;87478560;53600;0.0;5689;5689;4733;4733;2437;2437
Wimille - Wimereux;87317123;62126;0.0;37425;37425;35330;35330;37020;37020
Yffiniac;87473116;22120;0.0;29992;29992;29110;29110;29106;29106
Metzeral;87182816;68380;0.0;68257;68257;59233;59233;50970;50970
Mignaloux - Nouaillé;87575704;86550;0.0;8019;8019;5235;5235;2275;2275
Mohon;87172155;8000;0.0;13412;13412;14606;14606;12787;12787
Montendre;87491183;17130;0.0;67826;67826;57414;57414;52560;52560
Morannes;87484170;49640;0.0;38346;38346;38275;38275;34205;34205
Nanterre Université;87386318;92000;0.0;7569899;7569899;6863809;6863809;8029557;8029557
Neau;87478545;53150;0.0;6837;6837;5550;5550;2919;2919
Neuilly Porte Maillot RER E;87731448;75017;0.0;0;0;0;0;0;0
Niederbronn-les-Bains;87213256;67110;0.2;228854;286067;213944;267431;211326;264158
Nieppe;87287151;59850;0.0;74570;74570;67428;67428;66872;66872
Novéant-sur-Moselle;87192427;57680;0.2;144170;180213;145849;182311;133565;166956
Oloron-Sainte-Marie;87672725;64400;0.0;144730;144730;121893;121893;110312;110312
Pamproux;87485524;79800;0.0;13992;13992;13045;13045;11402;11402
Parempuyre;87581710;33290;0.0;55602;55602;87572;87572;57109;57109
Parent - Coudes - Champeix;87734194;63270;0.0;77561;77561;64958;64958;58237;58237
Pérenchies;87286278;59840;0.0;126686;126686;98953;98953;74415;74415
Pont Cardinet;87381111;75017;0.0;7855961;7855961;7123181;7123181;7490334;7490334
Pont-du-Casse;87586404;47480;0.0;0;0;0;0;0;0
Ponthierry - Pringy;87682526;77310;0.0;529417;529417;435226;435226;408987;408987
Pornic;87481283;44210;0.1999999999999999;230185;287731;219264;274080;207613;259517
Port-Vendres;87784264;66660;0.0;54122;54122;49134;49134;43409;43409
Pougny - Chancy;87745380;1550;0.0;2657;2657;3133;3133;3911;3911
