Mois;UIC;Nom gare;Nombre de non-conformités;Nombre d'observations;Taux de conformité
2023-01;0087113001;Paris Est;2584;49856;94.817073171
2023-01;0087141002;Nancy;1925;45353;95.755517827
2023-01;0087141036;Foug;0;1152;100.0
2023-01;0087141077;Frouard;504;6480;92.222222223
2023-01;0087141150;Lunéville;546;13338;95.906432749
2023-01;0087141796;Marbache;72;1656;95.652173914
2023-01;0087141812;Dieulouard;154;3157;95.12195122
2023-01;0087142091;Langres;532;16644;96.803652969
2023-01;0087175000;Saint-Dizier;532;15580;96.585365854
2023-01;0087175091;Joinville;532;17936;97.033898306
2023-01;0087175240;Lérouville;142;3124;95.454545455
2023-01;0087175828;Pagny-sur-Meuse;0;1584;100.0
2023-01;0087184523;Montbéliard;462;11550;96.0
2023-01;0087185249;Lure;63;2961;97.872340426
2023-01;0087191130;Uckange;200;1400;85.714285715
2023-01;0087191635;Sierck-les-Bains;96;768;87.5
2023-01;0087192039;Metz;2128;47500;95.52
2023-01;0087192070;Metz Nord;150;1950;92.307692308
2023-01;0087192088;Woippy;0;4200;100.0
2023-01;0087192286;Morhange;0;9246;100.0
2023-01;0087192419;Ancy-sur-Moselle;0;4350;100.0
2023-01;0087192427;Novéant-sur-Moselle;0;4104;100.0
2023-01;0087193318;Saint-Avold;546;7410;92.631578948
2023-01;0087194357;Audun-le-Roman;0;432;100.0
2023-01;0087212027;Strasbourg;836;56012;98.507462687
2023-01;0087213058;Haguenau;462;16863;97.260273973
2023-01;0087214288;Obernai;154;3927;96.078431373
2023-01;0087214544;Duttlenheim;73;1606;95.454545455
2023-01;0087214783;Saales;76;1824;95.833333334
2023-01;0087215012;Sarrebourg;77;10472;99.264705883
2023-01;0087271551;Le Plessis-Belleville;76;2052;96.296296297
2023-01;0087271577;Nanteuil-le-Haudouin;76;2052;96.296296297
2023-01;0087286542;Tourcoing;1216;15276;92.039800996
2023-01;0087286872;Baisieux;0;2736;100.0
2023-01;0087295014;Jeumont;0;4864;100.0
2023-01;0087295055;Anor;77;2387;96.774193549
2023-01;0087295733;Avesnes-sur-Helpe;304;6080;95.0
2023-01;0087296004;Saint-Quentin;616;14091;95.628415301
2023-01;0087296616;Chauny;528;9504;94.444444445
2023-01;0087313049;Longueau;924;23100;96.0
2023-01;0087317057;Rang-du-Fliers - Verton - Berck;248;12152;97.959183674
2023-01;0087317164;Montreuil sur Mer;0;1938;100.0
2023-01;0087317586;Boulogne-sur-Mer;0;23712;100.0
2023-01;0087323675;Montluçon Rimard;62;1302;95.238095239
2023-01;0087343004;Valenciennes;1292;37772;96.579476862
2023-01;0087345561;Caudry;0;4864;100.0
2023-01;0087353573;Le Toec;204;1292;84.210526316
2023-01;0087354589;Saint-Sébastien Pas Enchantés;76;2432;96.875
2023-01;0087387001;Évreux Normandie;1368;23180;94.098360656
2023-01;0087387092;Bueil;390;4680;91.666666667
2023-01;0087396044;Montbizot;152;1444;89.473684211
2023-01;0087396077;Vivoin - Beaumont;152;1596;90.476190477
2023-01;0087396606;Château-du-Loir;0;2356;100.0
2023-01;0087411249;Maromme;1938;10602;81.720430108
2023-01;0087413542;Fécamp;456;7638;94.029850747
2023-01;0087415604;Vernon - Giverny;702;25116;97.204968945
2023-01;0087439554;Vitrolles Aéroport Marseille Provence;0;6006;100.0
2023-01;0087444349;Pont-l'Évêque;224;2072;89.18918919
2023-01;0087444414;Dives-sur-Mer - Cabourg;0;456;100.0
2023-01;0087444877;Cherbourg-en-Cotentin;760;12008;93.670886076
2023-01;0087447003;Saint-Lô;392;4592;91.463414635
2023-01;0087447698;Villedieu-les-Poêles;616;4928;87.5
2023-01;0087471003;Rennes;2262;41574;94.559099438
2023-01;0087473223;Lannion;104;4992;97.916666667
2023-01;0087474338;Morlaix;384;18336;97.905759163
2023-01;0087476762;Saint-Gildas-des-Bois;0;1672;100.0
2023-01;0087481143;Thouaré-sur-Loire;76;1976;96.153846154
2023-01;0087481226;Sainte-Pazanne;152;3876;96.078431373
2023-01;0087481283;Pornic;228;1900;88.0
2023-01;0087481366;Machecoul;76;2052;96.296296297
2023-01;0087481689;La Croix de Méan;0;1140;100.0
2023-01;0087484006;Angers Saint-Laud;4180;55860;92.517006803
2023-01;0087485268;Prin-Deyrançon;0;1896;100.0
2023-01;0087485342;Beauvoir-sur-Niort;0;1155;100.0
2023-01;0087486258;Luçon;76;3420;97.777777778
2023-01;0087487280;Cerizay;154;539;71.428571429
2023-01;0087487603;Saumur;228;18848;98.790322581
2023-01;0087487876;Les Rosiers-sur-Loire;0;1672;100.0
2023-01;0087491209;Saint-Mariens - Saint-Yzan;75;1575;95.238095239
2023-01;0087491225;Gauriaguet;74;1184;93.75
2023-01;0087491241;Saint-André-de-Cubzac;300;4350;93.103448276
2023-01;0087491266;Cubzac-les-Ponts;74;1184;93.75
2023-01;0087491290;Loulay;0;790;100.0
2023-01;0087491449;Cognac;1771;10934;83.802816902
2023-01;0087497461;Gallieni Cancéropôle;248;2170;88.571428572
2023-01;0087575225;Chasseneuil-du-Poitou;154;1309;88.235294118
2023-01;0087575290;Vivonne;0;1659;100.0
2023-01;0087575480;Montmorillon;154;5236;97.05882353
2023-01;0087581009;Bordeaux Saint-Jean;2736;59736;95.419847329
2023-01;0087581801;Bègles;150;5850;97.435897436
2023-01;0087582403;Gazinet Cestas;150;7950;98.113207548
2023-01;0087582445;Marcheprime;150;3375;95.555555556
2023-01;0087582601;Le Teich;75;3450;97.826086957
2023-01;0087582684;Cadaujac;150;2475;93.93939394
2023-01;0087582700;Beautiran;300;3375;91.111111112
2023-01;0087582742;Cérons;375;3225;88.372093024
2023-01;0087582759;Barsac;150;2925;94.871794872
2023-01;0087582825;Saint-Macaire;150;1500;90.0
2023-01;0087582841;Caudrot;75;1800;95.833333334
2023-01;0087583690;Chalais;539;2387;77.419354839
2023-01;0087584441;Lalinde;228;1976;88.461538462
2023-01;0087584755;La Gorp;150;3450;95.652173914
2023-01;0087586495;Sauveterre-la-Lémance;0;1064;100.0
2023-01;0087586651;Tonneins;150;5175;97.101449276
2023-01;0087586693;Aiguillon;296;4292;93.103448276
2023-01;0087592022;Limoges Montjovis;0;943;100.0
2023-01;0087592063;Brignac;0;492;100.0
2023-01;0087592147;Lacelle;0;615;100.0
2023-01;0087592287;Saint-Germain-les-Belles;0;1148;100.0
2023-01;0087592428;Peyrilhac - Saint-Jouvent;0;574;100.0
2023-01;0087592485;Bellac;0;984;100.0
2023-01;0087592543;Le Dorat;0;1722;100.0
2023-01;0087592691;Saint-Brice-sur-Vienne;0;328;100.0
2023-01;0087592709;Saint-Junien;0;1804;100.0
2023-01;0087592717;Saillat - Chassenon;0;1189;100.0
2023-01;0087592808;La Meyze;0;615;100.0
2023-01;0087594135;Montaignac-Saint-Hippolyte;0;369;100.0
2023-01;0087595132;Négrondes;0;1292;100.0
2023-01;0087595165;Château-l'Évêque;0;1292;100.0
2023-01;0087595553;Limeyrat;0;918;100.0
2023-01;0087595702;Les Versannes;0;760;100.0
2023-01;0087595728;Mauzens-et-Miremont;0;512;100.0
2023-01;0087595744;Le Bugue;76;760;90.0
2023-01;0087597724;Parsac - Gouzon;0;738;100.0
2023-01;0087611038;Muret;688;9976;93.103448276
2023-01;0087611467;Colomiers;1001;10780;90.714285715
2023-01;0087611657;Saint-Jory;395;6478;93.902439025
2023-01;0087611665;Castelnau-d'Estrétefonds;1275;9265;86.238532111
2023-01;0087611749;Auch;420;6888;93.902439025
2023-01;0087611764;Aubiet;255;1275;80.0
2023-01;0087611822;Brax - Léguevin;924;5376;82.8125
2023-01;0087611921;Colomiers Lycée International;560;2590;78.378378379
2023-01;0087612002;Labège Innopole;86;6020;98.571428572
2023-01;0087612010;Montaudran;0;2268;100.0
2023-01;0087615120;Couffoulens - Leuc;0;1444;100.0
2023-01;0087615161;Limoux;77;3388;97.727272728
2023-01;0087615187;Alet-les-Bains;0;1368;100.0
2023-01;0087615369;Montastruc-la-Conseillère;435;5916;92.647058824
2023-01;0087615377;Gragnague;252;2688;90.625
2023-01;0087641415;Commentry;76;4636;98.360655738
2023-01;0087645002;Aurillac;304;6688;95.454545455
2023-01;0087671487;Ygos-Saint-Saturnin;225;1575;85.714285715
2023-01;0087671495;Saint-Martin-d'Oney;75;1125;93.333333334
2023-01;0087672162;Assat;0;900;100.0
2023-01;0087672253;Orthez;525;7500;93.0
2023-01;0087672337;Peyrehorade;75;2400;96.875
2023-01;0087672386;Urt;75;1050;92.857142858
2023-01;0087672600;Croix du Prince;75;1050;92.857142858
2023-01;0087672618;Gan;0;900;100.0
2023-01;0087672725;Oloron-Sainte-Marie;75;2700;97.222222223
2023-01;0087672766;Sarrance;0;900;100.0
2023-01;0087672774;Bedous;75;1200;93.75
2023-01;0087673251;Saubusse;450;2625;82.857142858
2023-01;0087673616;Villefranque;225;750;70.0
2023-01;0087673723;Saint-Jean-Pied-de-Port;150;1275;88.235294118
2023-01;0087677104;Les Deux Jumeaux;300;1425;78.947368422
2023-01;0087677120;Saint-Jean-de-Luz - Ciboure;1725;14475;88.082901555
2023-01;0087683128;Champigny sur Yonne;150;2400;93.75
2023-01;0087696351;Varennes-sur-Allier;76;2736;97.222222223
2023-01;0087701532;Trélazé;0;3724;100.0
2023-01;0087713313;Genlis;152;3268;95.34883721
2023-01;0087718015;Besançon Mouillère;150;3375;95.555555556
2023-01;0087718833;Mouchard;76;6004;98.734177216
2023-01;0087721282;Saint-Germain-au-Mont-d'Or;76;4180;98.181818182
2023-01;0087721506;Ecully - Tassin;76;2736;97.222222223
2023-01;0087722405;Givors;1064;10640;90.0
2023-01;0087722678;Le Péage-de-Roussillon;304;3952;92.307692308
2023-01;0087722728;Brignais;152;3192;95.238095239
2023-01;0087723395;La Verpillière;152;5016;96.96969697
2023-01;0087723700;Sathonay - Rillieux;152;4256;96.428571429
2023-01;0087725622;Tournus;76;4028;98.113207548
2023-01;0087726331;Rive-de-Gier;304;11552;97.368421053
2023-01;0087726430;Saint-Romain-le-Puy;0;2052;100.0
2023-01;0087726877;Feurs;76;2432;96.875
2023-01;0087732206;Saint-Germain-des-Fossés;152;10640;98.571428572
2023-01;0087732404;Gannat;0;2660;100.0
2023-01;0087734475;Thiers;152;6384;97.61904762
2023-01;0087734699;Le Puy-en-Velay;228;7448;96.938775511
2023-01;0087741306;Saint-Avre - La Chambre;304;7144;95.744680852
2023-01;0087741728;Moûtiers - Salins - Brides-les-Bains;988;20292;95.131086143
2023-01;0087741777;Landry;162;2754;94.117647059
2023-01;0087742361;Saint-Michel - Valloire;228;3040;92.5
2023-01;0087743351;Nurieux-Volognat;76;3876;98.039215687
2023-01;0087743633;Saint-Claude;0;2660;100.0
2023-01;0087745430;Saint-Julien-en-Genevois;1648;8343;80.246913581
2023-01;0087747519;Le Pont-de-Claix;76;2660;97.142857143
2023-01;0087747535;Jarrie - Vizille;152;2584;94.117647059
2023-01;0087747576;Vif;152;2736;94.444444445
2023-01;0087751008;Marseille Saint-Charles;3420;39840;91.415662651
2023-01;0087751362;Pertuis;380;2052;81.481481482
2023-01;0087751743;La Penne-sur-Huveaune;152;3572;95.744680852
2023-01;0087751776;Cassis;152;5928;97.435897436
2023-01;0087751800;Septèmes-les-Vallons;304;3496;91.304347827
2023-01;0087751842;Sainte-Marthe en Provence;1064;5700;81.333333334
2023-01;0087753459;Port-de-Bouc;154;6160;97.5
2023-01;0087755223;Bandol;380;5548;93.150684932
2023-01;0087755231;Ollioules - Sanary-sur-Mer;1064;6156;82.716049383
2023-01;0087755421;Vidauban;0;760;100.0
2023-01;0087756056;Nice;3572;70148;94.907908993
2023-01;0087756254;Nice Saint-Augustin;847;12474;93.209876544
2023-01;0087756395;Cap-d'Ail;308;4158;92.592592593
2023-01;0087757534;Boulouris sur Mer;924;7546;87.755102041
2023-01;0087757542;Le Dramont;231;1925;88.0
2023-01;0087759316;Saint-Joseph le Castellas;0;1824;100.0
2023-01;0087761130;Saint-Vallier sur Rhône;76;2052;96.296296297
2023-01;0087761783;Crest;152;2508;93.93939394
2023-01;0087761841;Die;532;2812;81.081081082
2023-01;0087763250;Aspres-sur-Buëch;608;3876;84.313725491
2023-01;0087763466;Embrun;2432;5244;53.623188406
2023-01;0087765180;Courthézon;0;2964;100.0
2023-01;0087765446;Gadagne;152;1216;87.5
2023-01;0087765503;Cavaillon;1140;8208;86.111111112
2023-01;0087773465;Saint-Aunès;0;1734;100.0
2023-01;0087773515;Villeneuve-lès-Maguelone;0;2356;100.0
2023-01;0087775007;Nîmes;1064;56240;98.108108109
2023-01;0087775221;Chamborigaud;77;1463;94.736842106
2023-01;0087775239;Sainte-Cécile-d'Andorge;0;1734;100.0
2023-01;0087775361;Saint-Geniès-de-Malgoirès;510;3162;83.870967742
2023-01;0087775817;Vauvert;77;3619;97.872340426
2023-01;0087775858;Aigues-Mortes;154;4158;96.296296297
2023-01;0087781088;Leucate La Franqui;76;3040;97.5
2023-01;0087781161;Coursan;76;2204;96.551724138
2023-01;0087781534;Montpaon;68;952;92.857142858
2023-01;0087781542;Ceilhes - Roqueredonde;0;1224;100.0
2023-01;0087783563;Barjac;0;748;100.0
2023-01;0087784157;Salses-le-Château;76;1444;94.736842106
2023-01;0087784843;Err;0;488;100.0
2023-01;0087784876;Bourg-Madame;0;2013;100.0
2023-01;0087784884;Ur - Les Escaldes;0;488;100.0
2023-02;0087113001;Paris Est;2432;43852;94.454072791
2023-02;0087118000;Troyes;1824;24776;92.63803681
2023-02;0087118158;Romilly-sur-Seine;456;13908;96.721311476
2023-02;0087141002;Nancy;1771;44814;96.048109966
2023-02;0087141085;Champigneulles;144;1728;91.666666667
2023-02;0087141812;Dieulouard;154;3157;95.12195122
2023-02;0087142125;Culmont - Chalindrey;456;24928;98.170731708
2023-02;0087172007;Charleville-Mézières;912;23636;96.1414791
2023-02;0087172130;Givet;608;17936;96.610169492
2023-02;0087172155;Mohon;208;7540;97.241379311
2023-02;0087175794;Étain;48;1008;95.238095239
2023-02;0087182139;Saint-Louis;836;31008;97.303921569
2023-02;0087185249;Lure;63;2961;97.872340426
2023-02;0087185629;Aillevillers;63;1890;96.666666667
2023-02;0087191098;Walygator Parc;47;376;87.5
2023-02;0087191114;Hagondange;6545;34496;81.026785715
2023-02;0087191239;Hayange;154;1925;92.0
2023-02;0087191700;Jœuf;231;6622;96.511627907
2023-02;0087191742;Gandrange - Amnéville;77;2618;97.05882353
2023-02;0087192666;Conflans - Jarny;231;15400;98.5
2023-02;0087193250;Béning;380;6840;94.444444445
2023-02;0087212027;Strasbourg;912;57228;98.406374502
2023-02;0087213058;Haguenau;385;22561;98.293515359
2023-02;0087213447;Hoffen;100;1000;90.0
2023-02;0087213785;Ingwiller;99;3861;97.435897436
2023-02;0087214783;Saales;152;1824;91.666666667
2023-02;0087215012;Sarrebourg;0;10472;100.0
2023-02;0087215160;Lutzelbourg;0;5148;100.0
2023-02;0087276006;Creil;308;8162;96.226415095
2023-02;0087276113;Chantilly - Gouvieux;385;6468;94.047619048
2023-02;0087276279;Orry-la-Ville - Coye;154;5698;97.297297298
2023-02;0087276303;Longueil-Sainte-Marie;180;5400;96.666666667
2023-02;0087276329;Pont-Sainte-Maxence;154;5236;97.05882353
2023-02;0087276725;Chambly;0;9856;100.0
2023-02;0087276741;Thourotte;76;2052;96.296296297
2023-02;0087276782;Noyon;154;6006;97.435897436
2023-02;0087281428;Audruicq;2480;8928;72.222222223
2023-02;0087286146;Armentières;304;5852;94.805194806
2023-02;0087286401;Santes;0;2280;100.0
2023-02;0087286500;Phalempin;0;5320;100.0
2023-02;0087295220;Le Cateau-Cambrésis;0;2541;100.0
2023-02;0087295600;Aulnoye-Aymeries;456;6992;93.47826087
2023-02;0087296012;Laon;312;8736;96.428571429
2023-02;0087296244;Busigny;154;6930;97.777777778
2023-02;0087296442;Tergnier;308;10318;97.014925374
2023-02;0087296616;Chauny;528;9504;94.444444445
2023-02;0087300863;Besançon Franche-Comté TGV;475;14630;96.753246754
2023-02;0087313049;Longueau;1309;27643;95.264623956
