UIC;Nom gare;Taux de conformité moyen
87111849;Marne-la-Vallée Chessy;94.24
87111864;Balsièges Bourg;97.52
87113001;Paris Est;94.31
87118000;Troyes;97.36
87118158;Romilly-sur-Seine;93.48
87118190;Nogent-sur-Seine;97.78
87118257;Vendeuvre-sur-Barse;99.07
87118299;Bar-sur-Aube;96.36
87141002;Nancy;96.62
87141010;Jarville-la-Malgrange;94.77
87141036;Foug;93.7
87141044;Toul;95.93
87141051;Fontenoy-sur-Moselle;95.6
87141069;Liverdun;95.0
87141077;Frouard;96.44
87141085;Champigneulles;95.14
87141101;Varangéville - Saint-Nicolas;98.04
87141119;Dombasle-sur-Meurthe;87.75
87141135;Blainville - Damelevières;92.51
87141143;Mont-sur-Meurthe;100.0
87141150;Lunéville;98.96
87141200;Einvaux;99.07
87141218;Bayon;98.4
87141291;Neufchâteau;98.24
87141374;Saint-Clément - Laronxe;98.21
87141382;Chenevières;100.0
87141390;Ménil Flin;100.0
87141408;Azerailles;97.17
87141416;Baccarat;99.54
87141424;Bertrichamps;100.0
87141432;Thiaville-sur-Meurthe;100.0
87141473;Houdemont;100.0
87141481;Ludres;99.21
87141499;Messein;100.0
87141507;Neuves-Maisons;99.31
87141523;Pont-Saint-Vincent;99.64
87141788;Pompey;96.78
87141796;Marbache;94.43
87141804;Belleville;96.88
87141812;Dieulouard;93.42
87141820;Pont-à-Mousson;98.33
87142000;Chaumont;95.51
87142091;Langres;94.18
87142109;Lorraine TGV;97.31
87142125;Culmont - Chalindrey;96.53
87144006;Épinal;97.93
87144014;Saint-Dié-des-Vosges;97.14
87144055;Charmes;99.22
87144063;Vincey;100.0
87144071;Châtel - Nomexy;97.5
87144089;Igney;99.4
87144097;Thaon;96.02
87144154;Bruyères;90.36
87144279;Vittel;99.66
87144287;Contrexéville;99.67
87144410;Arches;93.36
87144428;Pouxeux;99.17
87144436;Éloyes;98.48
87144451;Remiremont;97.63
87144626;Raon-l'Étape;87.63
87144642;Étival-Clairefontaine;97.87
87144683;Saint-Michel-sur-Meurthe;100.0
87146217;Saint-Nabord;100.0
87147322;Meuse TGV;97.75
87159947;Ker Lann;81.82
87171009;Reims;94.76
87171330;Fismes;98.35
87171512;Dormans;95.48
87171553;Épernay;94.24
87171926;Champagne-Ardenne TGV;94.01
87172007;Charleville-Mézières;96.78
87172080;Revin;94.43
87172130;Givet;96.54
87172155;Mohon;96.91
87172254;Sedan;94.92
87172270;Rethel;96.81
87174003;Châlons-en-Champagne;92.4
87174276;Vitry-le-François;94.09
87175000;Saint-Dizier;95.24
87175018;Revigny-sur-Ornain;98.78
87175042;Bar-le-Duc;99.19
87175067;Nançois - Tronville;95.83
87175091;Joinville;94.67
87175240;Lérouville;95.44
87175257;Commercy;99.58
87175778;Verdun;97.96
87175794;Étain;96.55
87175828;Pagny-sur-Meuse;99.21
87181016;Saint-Louis La Chaussée;93.75
87181040;Flaxlanden;99.65
87181065;Walheim;100.0
87182014;Colmar;95.98
87182063;Mulhouse;97.68
87182071;Rixheim;95.37
87182089;Habsheim;98.91
87182105;Sierentz;97.12
87182113;Bartenheim;98.81
87182139;Saint-Louis;96.85
87182196;Zillisheim;97.98
87182204;Illfurth;96.54
87182238;Altkirch;98.59
87182253;Dannemarie;99.57
87182394;Munster;99.52
87182568;Thann;96.49
87182840;Bantzenheim;99.67
87184002;Belfort;96.13
87184275;Montreux-Vieux;100.0
87184523;Montbéliard;95.52
87185009;Vesoul;96.62
87185249;Lure;98.1
87185629;Aillevillers;97.69
87191007;Thionville;95.01
87191098;Walygator Parc;94.44
87191106;Maizières-lès-Metz;93.73
87191114;Hagondange;90.36
87191130;Uckange;96.52
87191163;Hettange-Grande;99.15
87191239;Hayange;97.33
87191635;Sierck-les-Bains;89.58
87191684;Auboué;99.02
87191692;Homécourt;99.44
87191700;Jœuf;99.32
87191718;Moyeuvre-Grande;93.33
87191734;Rombas - Clouange;95.0
87191742;Gandrange - Amnéville;97.06
87192039;Metz;95.29
87192070;Metz Nord;89.77
87192088;Woippy;98.33
87192203;Peltre;98.89
87192211;Courcelles-sur-Nied;95.43
87192229;Sanry-sur-Nied;94.72
87192237;Rémilly;95.83
87192286;Morhange;98.39
87192302;Bénestroff;97.46
87192401;Ars-sur-Moselle;93.06
87192419;Ancy-sur-Moselle;95.82
87192427;Novéant-sur-Moselle;95.8
87192435;Onville;98.47
87192468;Pagny-sur-Moselle;96.14
87192476;Vandières;96.11
87192658;Baroncourt;93.45
87192666;Conflans - Jarny;99.72
87192724;Hatrize;98.86
87192732;Valleroy - Moineville;100.0
87193003;Forbach;94.23
87193250;Béning;95.67
87193276;Hombourg-Haut;98.07
87193318;Saint-Avold;96.51
87193359;Faulquemont;98.04
87193540;Hundling;98.18
87193615;Sarreguemines;97.22
87193664;Kalhausen;97.49
87194001;Longwy;94.91
87194209;Montmédy;93.94
87194274;Longuyon;98.01
87194357;Audun-le-Roman;98.15
87212027;Strasbourg;97.29
87212100;Mundolsheim;92.64
87212118;Vendenheim;86.84
87212126;Stephansfeld;99.44
87212134;Brumath;94.53
87212142;Mommenheim;96.86
87212159;Schwindratzheim;98.89
87212167;Hochfelden;91.51
87212175;Wilwisheim;95.39
87212183;Dettwiller;94.52
87212191;Strasbourg Roethig;90.39
87212209;Steinbourg;95.68
87212225;Saverne;96.69
87212241;Graffenstaden;93.28
87212258;Geispolsheim;91.7
87212266;Fegersheim - Lipsheim;93.55
87212274;Limersheim;94.45
87212308;Bischheim;86.58
87212316;La Wantzenau;93.8
87212324;Kilstett;90.67
87212332;Gambsheim;90.98
87212340;Herrlisheim;91.32
87212357;Drusenheim;92.34
87212365;Sessenheim;93.26
87212373;Rountzenheim;91.37
87212407;Roeschwoog;88.87
87212415;Roppenheim;92.39
87212431;Seltz;95.17
87212449;Munchhausen;96.28
87212456;Mothern;95.69
87212464;Lauterbourg;90.0
87213058;Haguenau;92.65
87213108;Schweighouse-sur-Moder;98.09
87213165;Obermodern-Zutzendorf;98.5
87213207;Mertzwiller;93.15
87213223;Gundershoffen;97.5
87213249;Reichshoffen;95.06
87213256;Niederbronn-les-Bains;90.56
87213405;Walbourg;96.97
87213413;Hoelschloch;96.0
87213421;Soultz-sous-Forêts;95.72
87213447;Hoffen;96.36
87213462;Riedseltz;96.59
87213470;Wissembourg;95.59
87213603;Marienthal;96.26
87213611;Bischwiller;95.1
87213660;Kurtzenhouse;96.52
87213678;Weyersheim;93.7
87213686;Hoerdt;94.31
87213744;Wingen-sur-Moder;95.22
87213785;Ingwiller;95.3
87214056;Sélestat;95.37
87214106;Ebersheim;94.31
87214114;Kogenheim;94.44
87214122;Benfeld;92.51
87214130;Matzenheim;94.84
87214148;Erstein;97.22
87214205;Scherwiller;95.45
87214213;Dambach-la-Ville;93.45
87214221;Epfig;97.02
87214239;Eichhoffen;98.33
87214247;Barr;93.53
87214254;Gertwiller;94.79
87214270;Goxwiller;97.92
87214288;Obernai;94.35
87214296;Bischoffsheim;93.94
87214320;Rosheim;90.06
87214338;Dorlisheim;94.76
87214502;Lingolsheim;91.3
87214528;Entzheim Aéroport;94.3
87214536;Duppigheim;92.48
87214544;Duttlenheim;92.34
87214551;Dachstein;93.86
87214577;Molsheim;93.73
87214585;Mutzig;93.65
87214593;Gresswiller;93.18
87214627;Heiligenberg - Mollkirch;96.22
87214635;Urmatt;96.14
87214643;Mullerhof;97.48
87214650;Lutzelhouse;91.88
87214676;Wisches;93.39
87214684;Russ Hersbach;94.7
87214692;Schirmeck - La Broque;89.41
87214726;Rothau;89.23
87214734;Fouday;98.33
87214742;Saint-Blaise-la-Roche Poutay;94.64
87214775;Bourg-Bruche;97.22
87214783;Saales;92.0
87215012;Sarrebourg;96.85
87215079;Réding;97.12
87215103;Igney - Avricourt;100.0
87215160;Lutzelbourg;96.51
87215632;Oermingen;98.64
87215665;Diemeringen;99.45
87215699;Tieffenbach - Struth;100.0
87223263;Lille Europe;95.17
87271007;Paris Gare du Nord;94.67
87271494;Aéroport Charles de Gaulle 2 TGV;96.2
87271551;Le Plessis-Belleville;98.5
87271577;Nanteuil-le-Haudouin;98.46
87271593;Crépy-en-Valois;95.61
87271734;Villers-Cotterêts;97.79
87271817;Soissons;97.38
87276006;Creil;94.03
87276113;Chantilly - Gouvieux;95.22
87276212;Liancourt - Rantigny;96.56
87276279;Orry-la-Ville - Coye;94.82
87276303;Longueil-Sainte-Marie;94.26
87276329;Pont-Sainte-Maxence;94.68
87276618;Montataire;84.21
87276691;Compiègne;92.68
87276717;Bornel - Belle-Église;99.54
87276725;Chambly;98.14
87276741;Thourotte;95.99
87276766;Ribécourt;96.64
87276782;Noyon;96.84
87278259;Mérignac Arlac;90.95
87281006;Dunkerque;92.21
87281071;Calais - Fréthun;98.06
87281105;Bergues;90.33
87281246;Gravelines;100.0
87281428;Audruicq;94.15
87281444;Saint-Omer;94.87
87282624;Lyon Jean Macé;94.91
87286005;Lille Flandres;97.26
87286096;Haubourdin;98.03
87286112;Loos lez Lille;97.81
87286146;Armentières;86.63
87286179;Bailleul;69.98
87286187;La Madeleine;92.92
87286195;Saint-André-lez-Lille;93.37
87286260;Comines;100.0
87286278;Pérenchies;91.42
87286302;Hazebrouck;87.61
87286401;Santes;100.0
87286419;Wavrin;100.0
87286435;Don - Sainghin;97.18
87286500;Phalempin;99.65
87286518;Seclin;99.79
87286542;Tourcoing;80.44
87286583;Orchies;95.53
87286625;Templeuve;94.09
87286716;Croix - Wasquehal;98.04
87286732;Roubaix;81.72
87286849;Lesquin;93.49
87286864;Ascq;100.0
87286872;Baisieux;97.22
87295006;Maubeuge;93.52
87295014;Jeumont;99.51
87295048;Fourmies;98.99
87295055;Anor;96.77
87295063;Hirson;97.52
87295220;Le Cateau-Cambrésis;98.7
87295568;Hautmont;96.78
87295600;Aulnoye-Aymeries;92.27
87295733;Avesnes-sur-Helpe;99.19
87295857;Le Quesnoy;98.03
87296004;Saint-Quentin;94.95
87296012;Laon;94.57
87296244;Busigny;96.67
87296442;Tergnier;96.76
87296616;Chauny;92.4
87296632;La Fère;88.24
87300822;Belfort - Montbéliard TGV;94.94
87300863;Besançon Franche-Comté TGV;95.51
87313049;Longueau;94.49
87313056;Corbie;90.72
87313072;Albert;92.01
87313080;Saint-Roch;91.67
87313098;Ailly-sur-Somme;96.3
87313221;Ailly-sur-Noye;93.75
87313270;Saint-Just-en-Chaussée;97.58
87313304;Clermont de l'Oise;97.35
87313320;Moreuil;96.97
87313346;Montdidier;59.57
87313387;Estrées-Saint-Denis;85.71
87313460;Rosières;75.86
87313478;Chaulnes;60.0
87313486;Nesle;56.0
87313494;Ham;69.44
87313510;Beauvais;98.69
87313551;Cires-lès-Mello;100.0
87313577;Mouy - Bury;83.33
87313585;Hermes - Berthecourt;58.62
87313601;Rochy-Condé;68.97
87313668;Méru;99.4
87313759;Abancourt;93.39
87313874;Amiens;92.06
87313882;Haute Picardie TGV;94.79
87317016;Boulogne Tintelleries;94.87
87317057;Rang-du-Fliers - Verton - Berck;93.99
87317065;Étaples - Le Touquet;95.18
87317164;Montreuil sur Mer;98.37
87317222;Hesdin;95.83
87317263;Calais;96.72
87317339;Marquise - Rinxent;92.41
87317362;Abbeville;90.96
