UIC;Nom gare;Taux de conformité moyen
87111849;Marne-la-Vallée Chessy;95.03
87111864;Balsièges Bourg;94.7
87113001;Paris Est;94.37
87118000;Troyes;92.89
87118158;Romilly-sur-Seine;94.67
87118190;Nogent-sur-Seine;98.32
87118257;Vendeuvre-sur-Barse;98.31
87141002;Nancy;95.86
87141010;Jarville-la-Malgrange;94.67
87141036;Foug;96.06
87141044;Toul;93.07
87141051;Fontenoy-sur-Moselle;96.39
87141069;Liverdun;94.38
87141077;Frouard;96.7
87141085;Champigneulles;93.61
87141101;Varangéville - Saint-Nicolas;89.97
87141119;Dombasle-sur-Meurthe;76.25
87141135;Blainville - Damelevières;91.5
87141143;Mont-sur-Meurthe;98.61
87141150;Lunéville;96.03
87141200;Einvaux;100.0
87141218;Bayon;92.95
87141291;Neufchâteau;97.72
87141374;Saint-Clément - Laronxe;95.59
87141382;Chenevières;100.0
87141390;Ménil Flin;100.0
87141408;Azerailles;93.23
87141416;Baccarat;96.75
87141424;Bertrichamps;96.88
87141432;Thiaville-sur-Meurthe;96.43
87141473;Houdemont;98.44
87141481;Ludres;98.81
87141499;Messein;100.0
87141507;Neuves-Maisons;94.44
87141523;Pont-Saint-Vincent;98.91
87141788;Pompey;96.11
87141796;Marbache;95.94
87141804;Belleville;98.39
87141812;Dieulouard;94.19
87141820;Pont-à-Mousson;96.81
87142000;Chaumont;97.46
87142091;Langres;93.25
87142109;Lorraine TGV;95.22
87142125;Culmont - Chalindrey;97.6
87144006;Épinal;97.8
87144014;Saint-Dié-des-Vosges;92.91
87144055;Charmes;95.64
87144063;Vincey;95.0
87144071;Châtel - Nomexy;98.33
87144089;Igney;92.86
87144097;Thaon;95.81
87144154;Bruyères;87.21
87144279;Vittel;96.3
87144287;Contrexéville;94.18
87144410;Arches;89.69
87144428;Pouxeux;94.44
87144436;Éloyes;90.91
87144451;Remiremont;93.21
87144626;Raon-l'Étape;86.11
87144642;Étival-Clairefontaine;90.22
87144683;Saint-Michel-sur-Meurthe;100.0
87146217;Saint-Nabord;100.0
87147322;Meuse TGV;97.54
87159947;Ker Lann;85.71
87171009;Reims;94.32
87171330;Fismes;96.5
87171512;Dormans;93.64
87171553;Épernay;94.29
87171926;Champagne-Ardenne TGV;91.82
87172007;Charleville-Mézières;97.04
87172080;Revin;95.0
87172130;Givet;96.68
87172155;Mohon;96.71
87172254;Sedan;95.15
87172270;Rethel;95.88
87174003;Châlons-en-Champagne;92.89
87174276;Vitry-le-François;95.81
87175000;Saint-Dizier;95.91
87175018;Revigny-sur-Ornain;95.54
87175042;Bar-le-Duc;95.99
87175067;Nançois - Tronville;96.43
87175091;Joinville;95.51
87175240;Lérouville;93.85
87175257;Commercy;97.97
87175778;Verdun;96.39
87175794;Étain;92.86
87175828;Pagny-sur-Meuse;99.22
87181016;Saint-Louis La Chaussée;93.93
87181040;Flaxlanden;97.92
87181065;Walheim;94.12
87182014;Colmar;94.33
87182063;Mulhouse;97.58
87182071;Rixheim;100.0
87182089;Habsheim;94.44
87182105;Sierentz;92.5
87182113;Bartenheim;100.0
87182139;Saint-Louis;97.32
87182196;Zillisheim;97.14
87182204;Illfurth;94.74
87182238;Altkirch;98.13
87182253;Dannemarie;95.0
87182394;Munster;95.7
87182568;Thann;97.28
87182840;Bantzenheim;96.43
87184002;Belfort;96.45
87184275;Montreux-Vieux;92.5
87184523;Montbéliard;96.06
87185009;Vesoul;97.49
87185249;Lure;98.38
87185629;Aillevillers;97.78
87191007;Thionville;93.56
87191098;Walygator Parc;89.58
87191106;Maizières-lès-Metz;95.66
87191114;Hagondange;86.82
87191130;Uckange;95.22
87191163;Hettange-Grande;98.75
87191239;Hayange;93.76
87191635;Sierck-les-Bains;94.17
87191684;Auboué;98.75
87191692;Homécourt;95.28
87191700;Jœuf;97.36
87191718;Moyeuvre-Grande;92.41
87191734;Rombas - Clouange;95.36
87191742;Gandrange - Amnéville;93.14
87192039;Metz;95.13
87192070;Metz Nord;92.88
87192088;Woippy;98.59
87192203;Peltre;99.44
